Source Language,Target Language,Distance,POS distribution similarity,Inflection shape similarity,Fusion similarity,N category overlap,V category overlap,ADJ category overlap,Source Language Baseline Accuracy (soft),Baseline Accuracy (soft),Transfer Accuracy (soft),Accuracy Improvement (soft),Source Language Baseline Levenshtein (soft),Baseline Levenshtein (soft),Transfer Levenshtein (soft),Levenshtein Improvement (soft),Source Language Baseline Accuracy (hard),Baseline Accuracy (hard),Transfer Accuracy (hard),Accuracy Improvement (hard),Source Language Baseline Levenshtein (hard),Baseline Levenshtein (hard),Transfer Levenshtein (hard),Levenshtein Improvement (hard)
Romanian,Turkish,Unrelated,0.46,0.847,0.275,0.07,0.45,0.1,0.185,0.176,0.124,-0.052,3.0375,3.79,4.45,-0.66,0.239,0.145,0.449,0.304,2.6295,5.18,2.44,2.73
Slovak,Turkish,Unrelated,0.675,0.901,0.039,0.23,0.0,0.08,0.233,0.176,0.038,-0.138,1.9725,3.79,5.98,-2.19,0.44,0.145,0.258,0.113,1.1905,5.18,3.36,1.82
Uzbek,Turkish,Distantly related,0.73,0.903,0.113,0.58,0.0,0.0,0.41,0.176,0.053,-0.123,2.2,3.79,5.37,-1.58,0.04,0.145,0.119,-0.026,4.3,5.18,3.98,1.2
Zulu,Turkish,Unrelated,0.851,0.173,0.46,0.13,0.2,0.19,0.043,0.176,0.074,-0.102,3.589,3.79,6.14,-2.35,0.041,0.145,0.29,0.145,3.5145,5.18,3.28,1.9
Arabic,Uzbek,Unrelated,0.436,0.576,0.014,0.26,0.0,0.0,0.105,0.41,0.88,0.47,4.2105,2.2,0.34,1.86,0.149,0.04,0.99,0.95,3.8215,4.3,0.01,4.29
Bashkir,Uzbek,Distantly related,0.965,0.921,0.112,0.53,,0.0,0.348,0.41,0.22,-0.19,1.963,2.2,2.79,-0.59,0.745,0.04,0.69,0.65,0.6975,4.3,0.6,3.7
Basque,Uzbek,Unrelated,0.0,0.441,0.0,0.0,0.0,,0.062,0.41,0.86,0.45,4.008,2.2,0.36,1.84,0.037,0.04,0.46,0.42,4.4125,4.3,1.96,2.34
Crimean Tatar,Uzbek,Distantly related,0.914,0.906,0.0,0.43,0.0,0.0,0.77,0.41,0.52,0.11,1.435,2.2,0.95,1.25,0.93,0.04,0.95,0.91,0.2,4.3,0.2,4.1
Czech,Uzbek,Unrelated,0.331,0.852,0.01,0.32,0.0,0.0,0.164,0.41,0.5,0.09,2.8335,2.2,1.08,1.12,0.214,0.04,0.99,0.95,2.5675,4.3,0.01,4.29
Estonian,Uzbek,Unrelated,0.546,0.75,0.013,0.19,0.0,,0.233,0.41,0.66,0.25,2.7765,2.2,0.59,1.61,0.16,0.04,0.91,0.87,2.984,4.3,0.21,4.09
Georgian,Uzbek,Unrelated,0.933,0.822,0.018,0.26,0.0,0.0,0.184,0.41,0.23,-0.18,2.7265,2.2,2.76,-0.55,0.435,0.04,0.12,0.08,1.644,4.3,3.16,1.14
Italian,Uzbek,Unrelated,0.0,0.602,0.0,0.0,0.0,,0.253,0.41,0.25,-0.16,2.611,2.2,2.6,-0.4,0.275,0.04,0.81,0.77,2.813,4.3,0.36,3.94
Navajo,Uzbek,Unrelated,0.122,0.195,0.0,0.1,0.0,,0.103,0.41,0.72,0.31,4.4965,2.2,0.97,1.23,0.12,0.04,0.77,0.73,4.242,4.3,0.56,3.74
Quechua,Uzbek,Unrelated,0.695,0.99,0.114,0.44,0.0,0.0,0.423,0.41,0.86,0.45,2.724,2.2,0.2,2.0,0.248,0.04,0.99,0.95,3.6765,4.3,0.01,4.29
Swedish,Uzbek,Unrelated,0.632,0.867,0.022,0.25,0.0,0.0,0.36,0.41,0.4,-0.01,1.8325,2.2,1.59,0.61,0.489,0.04,0.91,0.87,1.382,4.3,0.16,4.14
Turkish,Uzbek,Distantly related,0.73,0.903,0.113,0.58,0.0,0.0,0.176,0.41,0.83,0.42,3.789,2.2,0.33,1.87,0.145,0.04,0.92,0.88,5.175,4.3,0.22,4.08
Zulu,Uzbek,Unrelated,0.584,0.088,0.117,0.1,0.0,0.0,0.043,0.41,0.7,0.29,3.589,2.2,0.96,1.25,0.041,0.04,0.94,0.9,3.5145,4.3,0.12,4.18
Arabic,Zulu,Unrelated,0.853,0.462,0.307,0.07,0.21,0.07,0.105,0.043,0.281,0.238,4.2105,3.59,2.22,1.37,0.149,0.041,0.432,0.391,3.8215,3.51,1.74,1.77
Bashkir,Zulu,Unrelated,0.599,0.094,0.114,0.12,0.0,0.08,0.348,0.043,0.102,0.059,1.963,3.59,3.48,0.11,0.745,0.041,0.43,0.389,0.6975,3.51,1.76,1.75
Basque,Zulu,Unrelated,0.401,0.644,0.269,0.0,0.02,0.0,0.062,0.043,0.214,0.171,4.008,3.59,2.94,0.65,0.037,0.041,0.302,0.261,4.4125,3.51,2.33,1.18
Czech,Zulu,Unrelated,0.655,0.244,0.231,0.07,0.21,0.06,0.164,0.043,0.151,0.108,2.8335,3.59,2.71,0.88,0.214,0.041,0.455,0.414,2.5675,3.51,1.6,1.91
Estonian,Zulu,Unrelated,0.947,0.335,0.464,0.06,0.21,0.0,0.233,0.043,0.215,0.172,2.7765,3.59,2.67,0.92,0.16,0.041,0.312,0.271,2.984,3.51,1.97,1.54
Georgian,Zulu,Unrelated,0.644,0.203,0.655,0.16,0.22,0.12,0.184,0.043,0.123,0.08,2.7265,3.59,3.53,0.06,0.435,0.041,0.136,0.095,1.644,3.51,2.75,0.77
Navajo,Zulu,Unrelated,0.522,0.517,0.379,0.0,0.11,0.0,0.103,0.043,0.218,0.175,4.4965,3.59,2.49,1.1,0.12,0.041,0.313,0.272,4.242,3.51,2.36,1.16
Quechua,Zulu,Unrelated,0.751,0.103,0.4,0.05,0.24,0.05,0.423,0.043,0.203,0.16,2.724,3.59,2.51,1.08,0.248,0.041,0.323,0.282,3.6765,3.51,2.21,1.31
Spanish,Zulu,Unrelated,0.401,0.256,0.567,0.0,0.25,0.0,0.201,0.043,0.143,0.1,2.9405,3.59,2.96,0.63,0.359,0.041,0.402,0.361,1.9515,3.51,1.75,1.77
Swedish,Zulu,Unrelated,0.834,0.149,0.01,0.09,0.12,0.08,0.36,0.043,0.063,0.02,1.8325,3.59,3.53,0.06,0.489,0.041,0.325,0.284,1.382,3.51,2.12,1.4
